StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1. Metadata_Browser,Q1. Metadata_Version,Q1. Metadata_Operating System,Q1. Metadata_Resolution,Q2. Time_First Click,Q2. Time_Last Click,Q2. Time_Page Submit,Q2. Time_Click Count,Q3. Consent,"Q10. GS1, Time_First Click","Q10. GS1, Time_Last Click","Q10. GS1, Time_Page Submit","Q10. GS1, Time_Click Count","Q12. GS1, Option","Q13. GS1, Rating","Q13. GS1, Rationale","Q10. GS2, Time_First Click","Q10. GS2, Time_Last Click","Q10. GS2, Time_Page Submit","Q10. GS2, Time_Click Count","Q12. GS2, Option","Q13. GS2, Rating","Q14. GS2, Rationale","Q10. GS3, Time_First Click","Q10. GS3, Time_Last Click","Q10. GS3, Time_Page Submit","Q10. GS3, Time_Click Count","Q12. GS3, Option.","Q13. GS3, Rating","Q14. GS3, Rationle","Q10. LS1, Time_First Click","Q10. LS1, Time_Last Click","Q10. LS1, Time_Page Submit","Q10. LS1, Time_Click Count","Q12. LS1, Option","Q13. LS1, Rating","Q14. LS1, Rationale","Q10. LS2, Time_First Click","Q10. LS2, Time_Last Click","Q10. LS2, Time_Page Submit","Q10. LS2, Time_Click Count","Q12. LS2, Option","Q13. LS2, Rating","Q14. LS2, Rationale","Q10. LS3, Time_First Click","Q10. LS3, Time_Last Click","Q10. LS3, Time_Page Submit","Q10. LS3, Time_Click Count","Q12. LS3, Option","Q13. LS3, Rating","Q14. LS3, Rationale",Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,Q. NEP_1,Q. NEP_2,Q. NEP_3,Q. NEP_4,Q. NEP_5,Q. NEP_6,Q. NEP_7,Q. NEP_8,Q. NEP_9,"Q4. Dem, Time1_First Click","Q4. Dem, Time1_Last Click","Q4. Dem, Time1_Page Submit","Q4. Dem, Time1_Click Count",Q5. Age,Q6. Gender,Q6. Gender_4_TEXT,Q8. Ethnicity,Q8. Ethnicity_6_TEXT,"Q7. Dem, Time2_First Click","Q7. Dem, Time2_Last Click","Q7. Dem, Time2_Page Submit","Q7. Dem, Time2_Click Count",Q9. Education,Q10. Country,Q10. Student,Q91,Q63,Condition
6/30/23 4:26,6/30/23 4:30,IP Address,100,188,TRUE,6/30/23 4:30,R_NVdvtmfjOpqbjt7,anonymous,EN,1,Chrome,114.0.0.0,Windows NT 10.0,1920x1080,81.12,81.12,82.016,1,"Yes, I provide my consent and want to take part.",15.724,28.098,29.755,4,Proposal A,2: Preference for Proposal A,fgfd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.584,15.293,16.686,8,3: Neutral,4: Somewhat Disagree,4: Somewhat Disagree,3: Neutral,,3: Neutral,3: Neutral,3: Neutral,4: Somewhat Disagree,5.678,5.678,6.559,1,35 - 44 years old,Male,,White or Caucasian,,6.874,15.178,16.226,3,Associates or technical degree,fgb,No,,Yes,0
6/30/23 5:57,6/30/23 6:03,IP Address,100,323,TRUE,6/30/23 6:03,R_1PdD5x1QaR96ry5,anonymous,EN,1,Firefox,114,Windows NT 10.0,1920x1080,7.988,7.988,8.898,1,"Yes, I provide my consent and want to take part.",,,,,,,,,,,,,,,,,,,,,,50.907,66.338,181.865,3,Proposal A,2: Preference for Proposal A,I'm not good with maths and I don't like gambling. 1/3 guaranteed alive animals is better than the 2/3 gamble that all of them die.,,,,,,,,,,,,,,,7.518,31.325,34.099,8,3: Neutral,2: Somewhat Agree,3: Neutral,3: Neutral,,2: Somewhat Agree,2: Somewhat Agree,3: Neutral,2: Somewhat Agree,1.581,1.581,2.964,1,45 - 54 years old,Male,,White or Caucasian,,1.446,4.062,7.156,3,Bachelor's degree,NZ,No,,No,3
6/30/23 6:02,6/30/23 6:06,IP Address,100,281,TRUE,6/30/23 6:06,R_2pQPkuWqwDFa4ht,anonymous,EN,0.899999976,Safari iPhone,16.5.1,iPhone,390x844,2.315,3.586,4.378,2,"Yes, I provide my consent and want to take part.",,,,,,,,1.151,38.399,75.493,14,Proposal B,5: Slight Preference for Proposal B,"Conserving 300 trees in the future will be more difficult. Next time, the compromise is going to be 100 trees. Then 30. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.011,38.346,39.4,37,"5: Strongly
Disagree","1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree",,"1: Strongly
Agree","1: Strongly
Agree","5: Strongly
Disagree","1: Strongly
Agree",1.014,3.38,4.116,4,35 - 44 years old,Prefer to self-describe,Why self describe? Why not just ask for sex or gender?,White or Caucasian,,1.388,5.072,7.567,5,Bachelor's degree,Austria,No,,Yes,1
6/30/23 6:23,6/30/23 6:29,IP Address,100,306,TRUE,6/30/23 6:29,R_3m4yc0cNJWvh3ay,anonymous,EN,0.800000012,Chrome,114.0.0.0,Windows NT 10.0,1536x864,40.277,40.277,41.571,1,"Yes, I provide my consent and want to take part.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.125,70.876,99.041,6,Proposal B,6: Preference for Proposal B,I love me a good gamble. Best feeling in the world if you win. :),6.729,41.631,45.308,9,2: Somewhat Agree,"1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree",,"1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree",1.798,1.798,2.772,1,18 - 24 years old,Male,,Asian,,5.171,27.099,28.112,3,Completed high school / secondary school,UAE,Yes,No,Yes,5
6/30/23 6:44,6/30/23 6:47,IP Address,100,198,TRUE,6/30/23 6:47,R_3jTgIu177nGiYJ2,anonymous,EN,0.899999976,Safari iPhone,16.5.1,iPhone,393x852,4.307,6.961,6.986,5,"Yes, I provide my consent and want to take part.",,,,,,,,,,,,,,,8.54,68.145,85.091,17,Proposal A,2: Preference for Proposal A,Proposal A is guaranteed lives saved and B has a high chance of zero survival so I’m going for guaranteed lives ,,,,,,,,,,,,,,,,,,,,,,1.303,35.723,38.984,17,2: Somewhat Agree,2: Somewhat Agree,"1: Strongly
Agree","1: Strongly
Agree",,"1: Strongly
Agree",2: Somewhat Agree,4: Somewhat Disagree,2: Somewhat Agree,2.078,2.905,4.274,2,35 - 44 years old,Female,,White or Caucasian,,2.125,9.422,10.56,4,Bachelor's degree,England ,No,No,No,2
6/30/23 6:18,6/30/23 7:05,IP Address,100,2866,TRUE,6/30/23 7:05,R_2wFGmsqHxJOfuDG,anonymous,EN,0.899999976,Chrome,114.0.0.0,Windows NT 10.0,1920x1080,17.531,17.531,18.762,1,"Yes, I provide my consent and want to take part.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.794,1138.572,1143.584,3,Proposal A,5: Slight Preference for Proposal B,,,,,,,,,57.708,60.964,61.295,10,3: Neutral,3: Neutral,3: Neutral,3: Neutral,,3: Neutral,3: Neutral,3: Neutral,3: Neutral,1.098,1.098,1.942,1,25 - 34 years old,,,,,1.599,2.327,2.331,2,,,,,,4
6/30/23 7:10,6/30/23 7:15,IP Address,100,296,TRUE,6/30/23 7:15,R_3rqj1mPKRYbABzz,anonymous,EN,1,Chrome,114.0.0.0,Windows NT 10.0,1920x1080,8.866,8.866,12.413,1,"Yes, I provide my consent and want to take part.",,,,,,,,,,,,,,,,,,,,,,3.159,39.265,44.974,3,Proposal A,4: No Preference for Proposal A or B,,,,,,,,,,,,,,,,5.344,19.137,20.686,9,2: Somewhat Agree,2: Somewhat Agree,2: Somewhat Agree,2: Somewhat Agree,,2: Somewhat Agree,2: Somewhat Agree,2: Somewhat Agree,2: Somewhat Agree,42.067,42.067,44.222,1,25 - 34 years old,Male,,White or Caucasian,,2.12,43.7,45.334,4,Completed high school / secondary school,us,No,Yes,Yes,3
6/30/23 7:13,6/30/23 7:18,IP Address,100,287,TRUE,6/30/23 7:18,R_x9sjTCDfAzRGF7b,anonymous,EN,0.699999988,Edge,114.0.1823.58,Windows NT 10.0,1920x1080,23.584,23.584,25.232,1,"Yes, I provide my consent and want to take part.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.024,54.006,55.638,3,Proposal A,3: Slight Preference for Propsal A,ugj,,,,,,,,13.253,19.118,19.949,8,3: Neutral,2: Somewhat Agree,3: Neutral,3: Neutral,,3: Neutral,2: Somewhat Agree,2: Somewhat Agree,2: Somewhat Agree,5.1,5.1,5.904,1,25 - 34 years old,Male,,White or Caucasian,,8.716,40.06,41.09,5,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",America,No,Yes,Yes,4
6/30/23 7:16,6/30/23 7:18,IP Address,100,129,TRUE,6/30/23 7:18,R_2aslBOe9982yOUw,anonymous,EN,1,Edge,114.0.1823.58,Windows NT 10.0,1920x1080,27.345,27.345,29.01,1,"Yes, I provide my consent and want to take part.",3.557,7.694,9.431,3,Proposal B,4: No Preference for Proposal A or B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.381,5.921,7.085,9,"1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree",,"1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree",1.884,1.884,3.48,1,25 - 34 years old,Male,,White or Caucasian,,5.612,12.947,14.302,3,Associates or technical degree,us,No,Yes,Yes,0
6/30/23 7:10,6/30/23 7:19,IP Address,100,480,TRUE,6/30/23 7:19,R_3fPK05wtfzgynpL,anonymous,EN,0.300000012,Chrome,109.0.0.0,Windows NT 6.3,1280x720,0.741,94.237,118.635,2,"Yes, I provide my consent and want to take part.",,,,,,,,35.062,182.113,188.854,7,Proposal A,1: Strong Preference for Proposal A,Plan A is safer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.621,32.06,33.803,8,2: Somewhat Agree,"1: Strongly
Agree",2: Somewhat Agree,"1: Strongly
Agree",,"1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree","1: Strongly
Agree",3.436,3.436,5.341,1,35 - 44 years old,Female,,White or Caucasian,,3.403,28.513,30.245,3,Bachelor's degree,America,No,I'm not sure,Yes,1
